comparison,template,detector,x_label,x_value,A_mag,recovery_fraction,binom_se,n_inj,seed,threshold,P_inject_days,fwhm_days
reach_row_RGB_Av0,gaussian,oracle_single_freq,D_L_Gpc,0.1,1.784062,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,gaussian,oracle_single_freq,D_L_Gpc,0.2,0.773144,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,gaussian,oracle_single_freq,D_L_Gpc,0.35,0.318285,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,gaussian,oracle_single_freq,D_L_Gpc,0.5,0.168245,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,gaussian,oracle_single_freq,D_L_Gpc,0.7,0.088356,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,gaussian,oracle_single_freq,D_L_Gpc,0.85,0.060787,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,gaussian,oracle_single_freq,D_L_Gpc,1,0.044373,0.9850,0.0086,200,42,,18.0071,4.0
reach_row_RGB_Av0,gaussian,oracle_single_freq,D_L_Gpc,2,0.011215,0.1450,0.0249,200,42,,18.0071,4.0
reach_row_RGB_Av0,gaussian,oracle_single_freq,D_L_Gpc,2.9,0.005382,0.0450,0.0147,200,42,,18.0071,4.0
reach_row_RGB_Av0,gaussian,blind_harmonic_sum,D_L_Gpc,0.1,1.784062,0.8750,0.0234,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,gaussian,blind_harmonic_sum,D_L_Gpc,0.2,0.773144,0.9050,0.0207,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,gaussian,blind_harmonic_sum,D_L_Gpc,0.35,0.318285,0.8250,0.0269,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,gaussian,blind_harmonic_sum,D_L_Gpc,0.5,0.168245,0.6750,0.0331,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,gaussian,blind_harmonic_sum,D_L_Gpc,0.7,0.088356,0.3450,0.0336,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,gaussian,blind_harmonic_sum,D_L_Gpc,0.85,0.060787,0.1900,0.0277,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,gaussian,blind_harmonic_sum,D_L_Gpc,1,0.044373,0.0650,0.0174,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,gaussian,blind_harmonic_sum,D_L_Gpc,2,0.011215,0.0000,0.0000,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,gaussian,blind_harmonic_sum,D_L_Gpc,2.9,0.005382,0.0050,0.0050,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,sawtooth,global_max,D_L_Gpc,0.1,1.784062,1.0000,0.0000,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,sawtooth,global_max,D_L_Gpc,0.2,0.773144,1.0000,0.0000,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,sawtooth,global_max,D_L_Gpc,0.35,0.318285,1.0000,0.0000,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,sawtooth,global_max,D_L_Gpc,0.5,0.168245,0.9900,0.0070,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,sawtooth,global_max,D_L_Gpc,0.7,0.088356,0.7000,0.0324,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,sawtooth,global_max,D_L_Gpc,0.85,0.060787,0.2750,0.0316,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,sawtooth,global_max,D_L_Gpc,1,0.044373,0.0450,0.0147,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,sawtooth,global_max,D_L_Gpc,2,0.011215,0.0050,0.0050,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,sawtooth,global_max,D_L_Gpc,2.9,0.005382,0.0250,0.0110,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,sawtooth,oracle_single_freq,D_L_Gpc,0.1,1.784062,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,sawtooth,oracle_single_freq,D_L_Gpc,0.2,0.773144,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,sawtooth,oracle_single_freq,D_L_Gpc,0.35,0.318285,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,sawtooth,oracle_single_freq,D_L_Gpc,0.5,0.168245,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,sawtooth,oracle_single_freq,D_L_Gpc,0.7,0.088356,1.0000,0.0000,200,42,,18.0071,4.0
reach_row_RGB_Av0,sawtooth,oracle_single_freq,D_L_Gpc,0.85,0.060787,0.9950,0.0050,200,42,,18.0071,4.0
reach_row_RGB_Av0,sawtooth,oracle_single_freq,D_L_Gpc,1,0.044373,0.9750,0.0110,200,42,,18.0071,4.0
reach_row_RGB_Av0,sawtooth,oracle_single_freq,D_L_Gpc,2,0.011215,0.1150,0.0226,200,42,,18.0071,4.0
reach_row_RGB_Av0,sawtooth,oracle_single_freq,D_L_Gpc,2.9,0.005382,0.0250,0.0110,200,42,,18.0071,4.0
reach_row_RGB_Av0,sawtooth,blind_harmonic_sum,D_L_Gpc,0.1,1.784062,0.9400,0.0168,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,sawtooth,blind_harmonic_sum,D_L_Gpc,0.2,0.773144,0.9300,0.0180,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,sawtooth,blind_harmonic_sum,D_L_Gpc,0.35,0.318285,0.8300,0.0266,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,sawtooth,blind_harmonic_sum,D_L_Gpc,0.5,0.168245,0.7650,0.0300,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,sawtooth,blind_harmonic_sum,D_L_Gpc,0.7,0.088356,0.4000,0.0346,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,sawtooth,blind_harmonic_sum,D_L_Gpc,0.85,0.060787,0.1300,0.0238,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,sawtooth,blind_harmonic_sum,D_L_Gpc,1,0.044373,0.0300,0.0121,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,sawtooth,blind_harmonic_sum,D_L_Gpc,2,0.011215,0.0000,0.0000,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,sawtooth,blind_harmonic_sum,D_L_Gpc,2.9,0.005382,0.0050,0.0050,200,42,0.804701,18.0071,4.0
