source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note,source_label
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.7,39.23,3500.0,VALID,30.39159058960253,75475.84165861145,19.197070677857155,0.8340109042737924,0.6585047836946827,18.0071,blind_harmonic_sum,0.804701,0.8900,0.0221,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.7,39.23,3500.0,VALID,30.39159058960253,75475.84165861145,19.197070677857155,0.8340109042737924,0.6585047836946827,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.85,39.65,3500.0,VALID,30.81159058960253,75475.84165861145,19.617070677857157,0.5664632358251019,0.4873005166117349,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.85,39.65,3500.0,VALID,30.81159058960253,75475.84165861145,19.617070677857157,0.5664632358251019,0.4873005166117349,18.0071,blind_harmonic_sum,0.804701,0.8950,0.0217,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.85,39.65,3500.0,VALID,30.81159058960253,75475.84165861145,19.617070677857157,0.5664632358251019,0.4873005166117349,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.1,35.0,3500.0,VALID,26.161590589602532,75475.84165861145,15.967070677857159,16.336978174826278,3.097433506154466,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.1,35.0,3500.0,VALID,26.161590589602532,75475.84165861145,15.967070677857159,16.336978174826278,3.097433506154466,18.0071,blind_harmonic_sum,0.804701,0.8950,0.0217,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.1,35.0,3500.0,VALID,26.161590589602532,75475.84165861145,15.967070677857159,16.336978174826278,3.097433506154466,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.2,36.51,3500.0,VALID,27.67159058960253,75475.84165861145,17.477070677857157,4.0660407689036155,1.761671701120842,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.2,36.51,3500.0,VALID,27.67159058960253,75475.84165861145,17.477070677857157,4.0660407689036155,1.761671701120842,18.0071,blind_harmonic_sum,0.804701,0.9300,0.0180,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.2,36.51,3500.0,VALID,27.67159058960253,75475.84165861145,17.477070677857157,4.0660407689036155,1.761671701120842,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,18.687070677857157,1.3340488378833224,0.9202748475695789,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,18.687070677857157,1.3340488378833224,0.9202748475695789,18.0071,blind_harmonic_sum,0.804701,0.9000,0.0212,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,18.687070677857157,1.3340488378833224,0.9202748475695789,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.7,39.23,3500.0,VALID,30.39159058960253,75475.84165861145,20.197070677857155,0.33202572131120317,0.31128152776826995,18.0071,global_max,0.427687,0.9900,0.0070,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.7,39.23,3500.0,VALID,30.39159058960253,75475.84165861145,20.197070677857155,0.33202572131120317,0.31128152776826995,18.0071,blind_harmonic_sum,0.804701,0.8050,0.0280,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.7,39.23,3500.0,VALID,30.39159058960253,75475.84165861145,20.197070677857155,0.33202572131120317,0.31128152776826995,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.85,39.65,3500.0,VALID,30.81159058960253,75475.84165861145,20.617070677857157,0.22551307603690976,0.22079487367113682,18.0071,global_max,0.427687,0.9950,0.0050,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.85,39.65,3500.0,VALID,30.81159058960253,75475.84165861145,20.617070677857157,0.22551307603690976,0.22079487367113682,18.0071,blind_harmonic_sum,0.804701,0.7800,0.0293,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,2.0,19.0,0.85,39.65,3500.0,VALID,30.81159058960253,75475.84165861145,20.617070677857157,0.22551307603690976,0.22079487367113682,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
