source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,21.50037674331216,0.09996530667814661,0.10344746890499745,18.0071,blind_harmonic_sum,0.804701,0.4450,0.0351,200,42,
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,21.50037674331216,0.09996530667814661,0.10344746890499745,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,22.270376743312163,0.049186883082168974,0.05213213102376616,18.0071,global_max,0.427687,0.1950,0.0280,200,42,
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,22.270376743312163,0.049186883082168974,0.05213213102376616,18.0071,blind_harmonic_sum,0.804701,0.0750,0.0186,200,42,
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,22.270376743312163,0.049186883082168974,0.05213213102376616,18.0071,oracle_single_freq,0.093194,0.9900,0.0070,200,42,
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,19.78037674331216,0.48735935027518745,0.4310397699722199,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,19.78037674331216,0.48735935027518745,0.4310397699722199,18.0071,blind_harmonic_sum,0.804701,0.8950,0.0217,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,19.78037674331216,0.48735935027518745,0.4310397699722199,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,21.29037674331216,0.12129678855657534,0.12430144578919534,18.0071,global_max,0.427687,0.9350,0.0174,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,21.29037674331216,0.12129678855657534,0.12430144578919534,18.0071,blind_harmonic_sum,0.804701,0.5700,0.0350,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
