source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note
RGB,2000.0,100.0,1000000000.0,1.0,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,26.39037674331216,0.0011062398594265843,0.0012004208122026374,18.0071,oracle_single_freq,0.093194,0.0100,0.0070,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,27.190376743312164,0.0005294796860483266,0.0005747231261396764,18.0071,global_max,0.427687,0.0200,0.0099,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,27.190376743312164,0.0005294796860483266,0.0005747231261396764,18.0071,blind_harmonic_sum,0.804701,0.0150,0.0086,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,27.190376743312164,0.0005294796860483266,0.0005747231261396764,18.0071,oracle_single_freq,0.093194,0.0250,0.0110,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,24.370376743312164,0.007109667700599697,0.007691912441456242,18.0071,global_max,0.427687,0.0050,0.0050,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,24.370376743312164,0.007109667700599697,0.007691912441456242,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,24.370376743312164,0.007109667700599697,0.007691912441456242,18.0071,oracle_single_freq,0.093194,0.0800,0.0192,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,25.880376743312162,0.0017694948487193528,0.0019195068430586724,18.0071,global_max,0.427687,0.0100,0.0070,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,25.880376743312162,0.0017694948487193528,0.0019195068430586724,18.0071,blind_harmonic_sum,0.804701,0.0100,0.0070,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,25.880376743312162,0.0017694948487193528,0.0019195068430586724,18.0071,oracle_single_freq,0.093194,0.0500,0.0154,200,42,
