host,host_label,statistic,detector,D_L_Gpc,DM,A_V,L_min_Lsun,N_zone,N_zone_f_burst,f_burst,r_E_pc,column_Msun_per_pc2
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,global_max,0.5,38.49,0.0,3105.44,0.00169311,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,global_max,0.7,39.23,0.0,4908.21,2.27807e-05,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,global_max,0.85,39.65,0.0,8312.47,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,global_max,1.0,40.0,0.0,11475.3,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,global_max,2.0,41.51,0.0,46096.3,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,global_max,2.9,42.31,0.0,96326.5,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.1,35.0,0.0,2665.98,0.00295839,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.2,36.51,0.0,2665.98,0.00295839,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.35,37.72,0.0,3105.44,0.00169311,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.5,38.49,0.0,6834.53,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.7,39.23,0.0,13521.7,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.85,39.65,0.0,19887.2,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,1.0,40.0,0.0,27454.3,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,2.0,41.51,0.0,,,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,2.9,42.31,0.0,,,,,1.95686,230.773
