statistic,detector,floor_mag,D_L_Gpc,DM,A_V,m_nuc,M_total_Msun,L_min_Lsun,R_at_Lmin_Rsun,Sigma_detectable_per_pc2,r_E_pc,einstein_area_pc2,N_zone,column_Msun_per_pc2
v2-physical,global_max,none,0.7,39.23,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.85,39.65,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,1.0,40.0,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,2.0,41.51,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,2.9,42.31,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.1,35.0,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.2,36.51,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.35,37.72,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.5,38.49,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.7,39.23,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.85,39.65,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,1.0,40.0,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,2.0,41.51,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,2.9,42.31,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.1,35.0,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.2,36.51,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.35,37.72,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.5,38.49,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.7,39.23,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.85,39.65,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,1.0,40.0,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,2.0,41.51,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,2.9,42.31,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.1,35.0,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.2,36.51,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.35,37.72,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.5,38.49,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.7,39.23,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.85,39.65,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,1.0,40.0,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,2.0,41.51,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,2.9,42.31,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.1,35.0,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.2,36.51,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.35,37.72,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.5,38.49,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.7,39.23,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.85,39.65,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,1.0,40.0,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,2.0,41.51,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,2.9,42.31,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.1,35.0,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.2,36.51,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.35,37.72,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.5,38.49,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.7,39.23,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.85,39.65,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,1.0,40.0,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,2.0,41.51,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,2.9,42.31,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.1,35.0,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.2,36.51,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.35,37.72,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.5,38.49,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.7,39.23,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.85,39.65,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,1.0,40.0,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,2.0,41.51,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,2.9,42.31,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.1,35.0,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.2,36.51,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.35,37.72,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.5,38.49,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.7,39.23,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,0.85,39.65,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,1.0,40.0,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,2.0,41.51,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,blind_harmonic_sum,none,2.9,42.31,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,0.201888,0.1,35.0,0.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,global_max,0.201888,0.2,36.51,0.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,global_max,0.201888,0.35,37.72,0.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,global_max,0.19011,0.5,38.49,0.0,19.0,20000000000.0,3784.26,220.012,2.43674e-05,1.95686,12.0301,0.000293143,230.773
v3-physical,global_max,0.113328,0.7,39.23,0.0,19.0,20000000000.0,4869.15,267.258,4.21829e-06,1.95686,12.0301,5.07467e-05,230.773
v3-physical,global_max,0.0966281,0.85,39.65,0.0,19.0,20000000000.0,6540.65,300.744,0,1.95686,12.0301,0,230.773
v3-physical,global_max,0.0966281,1.0,40.0,0.0,19.0,20000000000.0,9028.61,300.744,0,1.95686,12.0301,0,230.773
v3-physical,global_max,radius-dependent,2.0,41.51,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,2.9,42.31,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,0.201888,0.1,35.0,0.5,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,global_max,0.201888,0.2,36.51,0.5,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,global_max,0.201888,0.35,37.72,0.5,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,global_max,0.133305,0.5,38.49,0.5,19.0,20000000000.0,4428.73,249.114,1.02827e-05,1.95686,12.0301,0.000123703,230.773
v3-physical,global_max,0.0966281,0.7,39.23,0.5,19.0,20000000000.0,7040.78,300.744,0,1.95686,12.0301,0,230.773
v3-physical,global_max,radius-dependent,0.85,39.65,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,1.0,40.0,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,2.0,41.51,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,2.9,42.31,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,0.201888,0.1,35.0,1.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,global_max,0.201888,0.2,36.51,1.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,global_max,0.161176,0.35,37.72,1.0,19.0,20000000000.0,4061.33,233.099,1.75995e-05,1.95686,12.0301,0.000211725,230.773
v3-physical,global_max,0.100466,0.5,38.49,1.0,19.0,20000000000.0,5771.75,292.193,6.43908e-07,1.95686,12.0301,7.74631e-06,230.773
v3-physical,global_max,radius-dependent,0.7,39.23,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
