statistic,source,R_Rsun,L_Lsun,t_mag_hr,t_mag_days,P_days,detector,A_mag,recovery_fraction,binom_se,threshold,template,n_inj,seed
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,oracle_single_freq,3.000000,1.0000,0.0000,0.146767,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,0.020000,0.0000,0.0000,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,0.031540,0.0050,0.0050,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,0.049737,0.0200,0.0099,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,0.078435,0.0850,0.0197,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,0.123690,0.2150,0.0290,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,0.195057,0.4550,0.0352,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,0.307602,0.6350,0.0340,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,0.485082,0.7750,0.0295,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,0.764965,0.8100,0.0277,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,1.206336,0.8100,0.0277,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,1.902369,0.8550,0.0249,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,blind_harmonic_sum,3.000000,0.8100,0.0277,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,0.020000,0.0300,0.0121,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,0.031540,0.0150,0.0086,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,0.049737,0.0250,0.0110,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,0.078435,0.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,0.123690,0.0100,0.0070,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,0.195057,0.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,0.307602,0.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,0.485082,0.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,0.764965,0.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,1.206336,0.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,1.902369,0.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,global_max,3.000000,0.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,0.020000,0.0050,0.0050,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,0.031540,0.0050,0.0050,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,0.049737,0.0200,0.0099,0.146767,sawtooth,200,42
