block,key1,key2,key3,value,note
PR,PR2,,,PASS,"min ratio = 1.0000  [old_metalpoor=1.0000, old_metalrich=1.0000, intermediate=1.0000]"
PR,PR2-sub,,,FAIL,"undefined-as-predicted: all three ratios are exactly 1.0000, so no host shows any drop and 'largest fractional drop' has no referent; old_metalrich was predicted"
PR,PR3,,,PASS,max Delta = 0.00295 mag over 6 computable cells
PR,PR4,,,FAIL,"global-max exists for ['AGB215', 'AGB260', 'AGBiso'] (predicted ['AGB215','AGB260','AGBiso']); harmonic-sum exists for ['AGB215', 'AGB260', 'AGBiso'] (predicted ['AGB260','AGBiso'])"
PR,PR5,,,PASS,min existing A_50 = 2.894 mag (14.47x the 0.2 bound)
C0e,BSG,,provenance,"manually specified, NOT isochrone-anchored",qpls/source_scenarios.py:98-100
B6,BSG,,frozen_scan,True,BSG frozen scan PRESENT in qpls_statistic_v3.csv -- mapped curve included in fig15
fig15_window,RGBiso,,"a_window=[1.53503,1.68967]",plotted,"scanned range [0.02,3]; 0 scanned point(s) inside the window; interpolated within scanned grid"
fig15_window,AGB170,,"a_window=[1.58848,1.74534]",plotted,"scanned range [0.02,3]; 0 scanned point(s) inside the window; interpolated within scanned grid"
fig15_window,AGB215,,"a_window=[1.72905,1.89124]",plotted,"scanned range [0.02,3]; 0 scanned point(s) inside the window; interpolated within scanned grid"
fig15_window,AGB260,,"a_window=[1.83637,2.00218]",plotted,"scanned range [0.02,3]; 1 scanned point(s) inside the window; interpolated within scanned grid"
fig15_window,AGBiso,,"a_window=[1.97539,2.14536]",plotted,"scanned range [0.02,3]; 0 scanned point(s) inside the window; interpolated within scanned grid"
fig15_window,BSG,,"a_window=[6.71877,6.91839]",omitted,"scanned range [0.02,3]; 0 scanned point(s) inside the window; would require extrapolation"
meta,,,seed,n/a (deterministic post-processing),no RNG is used in this module
meta,,,semantics,TRIGGER fractions (statistic > threshold),recovery-scored rerun pending; see AUDIT_recovery_semantics_2026-08-04.md
