statistic,kind,source,R_Rsun,L_Lsun,t_mag_days,P_days,detector,A_mag,recovery_fraction,threshold,n_inj,seed
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,0.485082,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,0.764965,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,1.206336,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,1.902369,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,3.000000,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,0.020000,0.0000,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,0.031540,0.0050,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,0.049737,0.0200,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,0.078435,0.0750,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,0.123690,0.1600,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,0.195057,0.3800,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,0.307602,0.5500,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,0.485082,0.6500,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,0.764965,0.6750,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,1.206336,0.7350,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,1.902369,0.7400,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,blind_harmonic_sum,3.000000,0.6950,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,0.020000,0.0050,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,0.031540,0.0050,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,0.049737,0.0100,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,0.078435,0.2800,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,0.123690,0.7050,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,0.195057,0.8700,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,0.307602,0.9250,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,0.485082,0.9900,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,0.764965,1.0000,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,1.206336,1.0000,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,1.902369,1.0000,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,global_max,3.000000,1.0000,0.427687,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,0.020000,0.2200,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,0.031540,0.5400,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,0.049737,0.8900,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,0.078435,0.9900,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,0.123690,1.0000,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,0.195057,1.0000,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,0.307602,1.0000,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,0.485082,1.0000,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,0.764965,1.0000,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,1.206336,1.0000,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,1.902369,1.0000,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,oracle_single_freq,3.000000,1.0000,0.126864,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,0.020000,0.0100,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,0.031540,0.0050,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,0.049737,0.0150,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,0.078435,0.1700,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,0.123690,0.3250,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,0.195057,0.4800,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,0.307602,0.4600,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,0.485082,0.4700,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,0.764965,0.5600,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,1.206336,0.4300,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,1.902369,0.5350,0.804701,200,42
v3-physical,fold_discriminator,RGBiso,137.5,2199.0,8.16657,45.6562,blind_harmonic_sum,3.000000,0.5050,0.804701,200,42
